Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,MF,MAXIMUM_PACKAGE_HEIGHT,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1
"BT1, BT2",2,3V,BatteryHolder_Keystone_3002_1x2032,,,,smt,CR2032,,,,,,,,
"C1, C2",2,100nF,C_Disc_D3.0mm_W1.6mm_P2.50mm,,,,tht,Unpolarized capacitor,,,,,,,,
"D1, D4",2,D_Schottky,D_SOD-123_DO-34_SOD68_P7.62mm_Horizontal,,,,tht,"Schottky diode, filled shape",,,,,,,,
"D2, D3, D5, D6",4,LED,LED_D3.0mm_Dialight_598,,,,tht,"Light emitting diode, filled shape",,,,,,,,
"R1, R2, R3, R4",4,2E2,R_1206_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,,,
"U1, U2",2,US1881EUA-AAA-000-BU,TO92127P410H430-3_TSOT-23,TO-92-3L-3 Melexis,,,tht,,Melexis Technologies,4.3mm,https://www.snapeda.com/parts/US1881EUA-AAA-000-BU/Melexis+Technologies+NV/view-part/?ref=eda,IPC-2221/IPC-2222,010,https://www.snapeda.com/parts/US1881EUA-AAA-000-BU/Melexis+Technologies+NV/view-part/?ref=snap,US1881EUA-AAA-000-BU,Digital Switch Latch Open Drain Hall Effect TO-92-3
